13dpg C00236
2pg C00631
3pg C00197
6pgc C00345
6pgl C01236
ac C00033
acald C00084
accoa C00024
acon_C C00417
actp C00227
adp C00008
akg C00026
amp C00020
atp C00002
cit C00158
co2 C00011
coa C00010
dhap C00111
e4p C00279
etoh C00469
f6p C00085
fdp C00354
for C00058
fru C00095
fum C00122
g3p C00118
g6p C00092
glc_D C00031
gln_L C00064
glu_L C00025
glx C00048
h C00080
h2o C00001
icit C00311
lac_D C00256
mal_L C00149
nad C00003
nadh C00004
nadp C00006
nadph C00005
o2 C00007
oaa C00036
pep C00074
pi C00009
pyr C00022
q8 C17569
r5p C03736
ru5p_D C00199
s7p C05382
succ C00042
succoa C00091
xu5p_D C00231
