10fthf C00234
11docrtsl C05488
11docrtstrn C03205
12ppd__R C02912
12ppd__S C02917
12RHPET C14812
13_cis_retn C07058
13dpg C00236
15HPET C05966
17ahprgnlone C05138
17ahprgstrn C01176
1a2425thvitd3 C18231
1mncam C02918
1mpyr C06178
1p2cbxl C03564
1p3h5c C04281
1pipdn2c C04092
1pyr5c C03912
20ahchsterol C05500
23cump C02355
23doguln C04575
2425dhvitd3 C07712
25aics C04823
25hvitd3 C01561
2amac C02218
2ameph C03557
2aobut C03214
2c23dh56dhoxin C05604
2coum C05838
2dr1p C00672
2dr5p C00673
2hb C05984
2hyoxplac C05852
2maacoa C03344
2mb2coa C03345
2mbcoa C01033
2mcacn C04225
2mcit C02225
2mop C00349
2mp2coa C03460
2mpdhl C04424
2obut C00109
2oxoadp C00322
2pg C00631
2pglyc C00988
34dhcinm C01197
34dhmald C05577
34dhoxmand C05580
34dhoxpeg C05576
34dhpac C04043
34dhpha C01161
34dhphe C00355
34hpl C03672
35cgmp C00942
35diotyr C01060
3aib C03284
3aib__D C01205
3amp C01367
3dhguln C00618
3dsphgn C02934
3h26dm5coa C11947
3hanthrn C00632
3hbcoa C01144
3hbcoa__R C03561
3hdcoa C05264
3hddcoa C05262
3hibutcoa C06000
3hmbcoa C04405
3hmp C01188
3hpp C01013
3htdcoa C05260
3htmelys C01259
3hxkynam C05636
3ityr__L C02515
3m4hpga C05583
3mb2coa C03069
3mgcoa C03231
3mob C00141
3mop C00671
3mox4hoxm C05584
3mox4hpac C05581
3moxtyr C05587
3odcoa C05265
3oddcoa C05263
3ohdcoa C05259
3ohodcoa C16216
3otdcoa C05261
3padsel C05696
3pg C00197
3php C03232
3sala C00606
3snpyr C05527
3spyr C05528
3uib C05100
3ump C01368
42A3HP24DB C05645
46dhoxquin C05639
48dhoxquin C05637
4aabutn C02946
4abut C00334
4abutn C00555
4aphdob C01252
4fumacac C01061
4h2oglt C01127
4hbz C00156
4hbzcoa C02949
4hglusa C05938
4hoxpacd C03765
4hphac C00642
4hpro_LT C01157
4izp C03680
4mlacac C01036
4mop C00233
4mptnl C02373
4mzym_int2 C15816
4nph C00870
4ppan C03492
4ppcys C04352
4pyrdx C00847
4tmeabut C01149
4tmeabutn C01181
56dihindlcrbxlt C04185
56dthm C00906
56dura C00429
5a2opntn C01110
5adtststerone C03917
5aizc C04751
5aop C00430
5dpmev C01143
5forthf C00664
5fthf C03479
5g2oxpt C03771
5hoxindact C05634
5hoxindoa C05635
5hoxnfkyn C05648
5HPET C05356
5htrp C00643
5hxkyn C05651
5hxkynam C05638
5mdr1p C04188
5mdru1p C04582
5mta C00170
